system:index,Mukey,SOC 0-30C,prop,b1,b2,b3,b4,b5,b6,b7,b8,b8a,b9,b10,b11,b12,QA10,QA20,QA60,,,,,,,,
10,470865,470.0,Not prime farmland,0.05079999938607220,0.07400000095367430,0.09210000187158590,0.10480000078678100,0.12729999423027000,0.15809999406337700,0.17389999330043800,0.1826999932527540,0.1923999935388570,0.17579999566078200,0.28540000319480900,0.23309999704361000,0.007000000216066840,0.11559999734163300,5.00000023748726E-04,0.010700000450015100,0.009399999864399430,0.007600000128149990,0.0,0.0,0.0,0.0,0.0,0.2063688039779660
11,470865,470.0,Not prime farmland,0.07580000162124630,0.13439999520778700,0.16349999606609300,0.17180000245571100,0.20160000026226000,0.2517000138759610,0.27129998803138700,0.27709999680519100,0.28459998965263400,0.29980000853538500,0.3197999894618990,0.28450000286102300,0.00860000029206276,0.0722000002861023,5.00000023748726E-04,0.01759999990463260,0.016699999570846600,0.013799999840557600,9.99999974737875E-05,0.0,0.0,0.0,0.0,0.0886944979429245
12,1906100,470.0,Not prime farmland,0.035599999129772200,0.04340000078082090,0.06610000133514400,0.07800000160932540,0.11159999668598200,0.16840000450611100,0.18770000338554400,0.2012999951839450,0.2078000009059910,0.210999995470047,0.21639999747276300,0.1525000035762790,0.006300000008195640,0.053199999034404800,3.9999998989515E-04,0.00800000037997961,0.006800000090152030,0.0044999998062849000,0.0,0.0,0.0,0.0,0.0,0.0921906977891922
13,470865,470.0,Not prime farmland,0.029999999329447700,0.05550000071525570,0.07999999821186070,0.07940000295639040,0.120899997651577,0.20579999685287500,0.2303999960422520,0.2371000051498410,0.2500999867916110,0.19679999351501500,0.195700004696846,0.1356000006198880,0.007600000128149990,0.12449999898672100,3.9999998989515E-04,0.008200000040233140,0.008200000040233140,0.00570000009611249,0.0,0.0,0.0,0.0,0.0,-0.030826164409518200
14,470865,470.0,Not prime farmland,0.03290000185370450,0.03400000184774400,0.05260000005364420,0.04650000110268590,0.08309999853372570,0.17730000615119900,0.20839999616146100,0.219200000166893,0.22190000116825100,0.210999995470047,0.13570000231266000,0.08609999716281890,0.0066999997943639800,0.09099999815225600,3.9999998989515E-04,0.004800000227987770,0.005400000140070920,0.0035000001080334200,0.0,0.0,0.0,0.0,0.0,-0.16306842863559700
15,2377735,1108.0,Not prime farmland,0.037300001829862600,0.043800000101327900,0.05640000104904180,0.06629999727010730,0.0869000032544136,0.1216999962925910,0.13619999587535900,0.13420000672340400,0.14259999990463300,0.19339999556541400,0.13259999454021500,0.10580000281333900,0.00570000009611249,0.06390000134706500,5.00000023748726E-04,0.006800000090152030,0.005799999926239250,0.0044999998062849000,0.0,0.0,0.0,0.0,0.0,0.055452365428209300
16,2377735,1108.0,Not prime farmland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
17,2377735,1108.0,Not prime farmland,0.07890000194311140,0.033799998462200200,0.06260000169277190,0.06620000302791600,0.10740000009536700,0.1949000060558320,0.22550000250339500,0.23770000040531200,0.24779999256134000,0.26919999718666100,0.17730000615119900,0.11739999800920500,0.010200000368058700,0.1054999977350240,3.9999998989515E-04,0.006800000090152030,0.006500000134110450,0.0035000001080334200,0.0,0.0,0.0,0.0,0.0,-0.05436892807483670
18,2377735,1108.0,Not prime farmland,0.015399999916553500,0.04809999838471410,0.08449999988079070,0.1234000027179720,0.14499999582767500,0.1671999990940090,0.1784999966621400,0.1835000067949300,0.18479999899864200,0.1949000060558320,0.21230000257492100,0.18199999630451200,0.006800000090152030,0.04879999905824660,5.00000023748726E-04,0.012600000016391300,0.008700000122189520,0.004999999888241290,6.99999975040555E-04,0.0,0.0,0.0,0.0,0.18350079655647300
19,1899424,1122.0,Farmland of statewide importance,0.028699999675154700,0.04390000179409980,0.06430000066757200,0.06909999996423720,0.10209999978542300,0.1704999953508380,0.19470000267028800,0.20160000026226000,0.20999999344348900,0.2071000039577480,0.18389999866485600,0.14300000667572000,0.009600000455975530,0.05469999834895130,5.00000023748726E-04,0.0071000000461936,0.006599999964237210,0.004600000102072950,0.0,0.0,0.0,0.0,0.0,0.015045121312141400
20,470872,321.0,Not prime farmland,0.32820001244545000,0.27869999408721900,0.2745000123977660,0.27230000495910600,0.30160000920295700,0.33570000529289200,0.34630000591278100,0.353300005197525,0.3499999940395360,0.6032000184059140,0.323199987411499,0.28760001063346900,0.010700000450015100,0.1274999976158140,8.99999984540045E-04,0.020800000056624400,0.020899999886751200,0.02070000022649770,0.006099999882280830,0.0,0.0,0.0,0.0,-0.0297352634370327
21,470873,305.0,Not prime farmland,0.0364999994635582,0.039900001138448700,0.05490000173449520,0.058800000697374300,0.08780000358819960,0.1517000049352650,0.1776999980211260,0.18629999458789800,0.19709999859333000,0.19269999861717200,0.17190000414848300,0.11270000040531200,0.00860000029206276,0.13230000436306,3.9999998989515E-04,0.006099999882280830,0.00570000009611249,0.004100000020116570,0.0,0.0,0.0,0.0,0.0,0.009848985821008680
22,470873,305.0,Not prime farmland,0.17470000684261300,0.19249999523162800,0.2003999948501590,0.2029000073671340,0.23190000653266900,0.28200000524520900,0.3027999997138980,0.30250000953674300,0.3172999918460850,0.36230000853538500,0.27399998903274500,0.2371000051498410,0.0071000000461936,0.09290000051260000,7.999999797903E-04,0.019899999722838400,0.019700000062584900,0.01889999955892560,0.004100000020116570,0.0,0.0,0.0,0.0,-0.01862330734729770
23,1906110,305.0,Not prime farmland,0.29330000281333900,0.11789999902248400,0.14489999413490300,0.15449999272823300,0.1875,0.24690000712871600,0.26339998841285700,0.25540000200271600,0.26030001044273400,0.6197999715805050,0.20679999887943300,0.18389999866485600,0.006800000090152030,0.15539999306201900,7.999999797903E-04,0.01549999974668030,0.014600000344216800,0.012000000104308100,6.99999975040555E-04,0.0,0.0,0.0,0.0,-0.016335412859916700
24,470873,305.0,Not prime farmland,0.012199999764561700,0.03539999946951870,0.05920000001788140,0.06719999760389330,0.10740000009536700,0.1931000053882600,0.22750000655651100,0.24779999256134000,0.2524999976158140,0.22460000216960900,0.22179999947547900,0.15379999577999100,0.008999999612569810,0.07919999957084660,3.9999998989515E-04,0.006899999920278790,0.006099999882280830,0.003700000001117590,0.0,0.0,0.0,0.0,0.0,0.010136331431567700
25,470873,305.0,Not prime farmland,0.027699999511241900,0.04320000112056730,0.06599999964237210,0.06840000301599500,0.10809999704361000,0.2011999934911730,0.2312999963760380,0.23559999465942400,0.25119999051094100,0.22660000622272500,0.1914999932050710,0.1282999962568280,0.011599999852478500,0.14669999480247500,3.9999998989515E-04,0.007000000216066840,0.006800000090152030,0.0044999998062849000,0.0,0.0,0.0,0.0,0.0,-0.035084474831819500
